kroger_product,description,calories,protein,fat,carbohydrates
horizon organic 2% reduced fat milk half gallon,"HORIZON ORGANIC, 2% ORGANIC REDUCED FAT MILK",54.0,3.33,2.08,5.0
horizon organic growing years 2% reduced fat milk,"HORIZON ORGANIC, 2% ORGANIC REDUCED FAT MILK",54.0,3.33,2.08,5.0
maple hill® organic 100% grassfed whole milk,"ORGANIC 100% GRASSFED YOGURT WHOLE MILK, BLUEBERRY",93.0,8.0,3.0,9.33
horizon organic 1% lowfat vanilla milk,"HORIZON ORGANIC, 1% ORGANIC LOWFAT MILK",46.0,3.33,1.04,5.42
horizon organic lowfat chocolate milk,"HORIZON ORGANIC, LOWFAT MILK, STRAWBERRY",64.0,3.39,1.06,10.2
horizon organic shelf-stable 1% low fat milk box - chocolate,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
kroger® vitamin d whole milk gallon,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
simple truth organic® 1% lowfat milk bottles,"SIMPLE TRUTH, ORGANIC SPAGHETTI",357,12.5,1.79,73.2
"fairlife ultra-filtered milk, lactose free, high protein, fat free milk",FAT FREE LACTOSE FREE ULTRA-FILTERED MILK,54.0,8.33,0.0,2.92
"fairlife ultra-filtered milk, lactose free, high protein, whole milk",WHOLE LACTOSE FREE ULTRA-FILTERED MILK,79.0,8.33,3.75,2.92
kroger® 1% lowfat milk gallon,"KROGER, 1% LOWFAT MILK",42.0,3.33,1.04,5.0
horizon organic grassfed vitamin d whole milk,ORGANIC GRASSFED VITAMIN D MILK,71.0,3.33,3.75,5.42
kroger® 1% lowfat milk half gallon,"Cream, half and half, lowfat",300,3.33,5.0,3.33
kroger® fat free skim milk gallon,"Milk, fat free (skim)",34,3.43,0.08,4.92
kroger® 1% lowfat chocolate milk gallon,"KROGER, 1% LOWFAT MILK, CHOCOLATE, CHOCOLATE",75.0,3.33,1.25,13.3
kroger® 1% lowfat chocolate milk half gallon,"KROGER, 1% LOWFAT MILK, CHOCOLATE, CHOCOLATE",75.0,3.33,1.25,13.3
simple truth organic® vitamin d whole milk gallon,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
horizon organic dha omega-3 whole milk half gallon,ORGANIC DHA OMEGA-3 WHOLE MILK,62.0,3.33,3.33,5.0
horizon organic dha omega-3 lowfat chocolate milk,"DHA OMEGA-3 ORGANIC LOWFAT MILK, CHOCOLATE",71.0,3.33,1.25,11.7
simple truth organic® 100% grassfed 2% reduced fat milk half gallon,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
horizon organic vitamin d whole milk half gallon,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
horizon organic lactose free 2% reduced fat milk half gallon,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
maple hill® organic 100% grassfed 2% reduced fat milk,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
horizon organic fat free milk half gallon,"Cream, half and half, fat free",59,2.6,1.4,9
hershey's a2 milk aseptic chocolate milk,"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",568,9.76,35.7,51.7
"meyenberg fresh whole goat milk, quart, certified humane, kosher, gluten free, easy to digest","Milk, human",N/A,N/A,N/A,N/A
"fairlife ultra-filtered milk, lactose free, high protein, 2% reduced fat milk","Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
a2 milk® ultra-pasteurized whole milk,ULTRA-PASTEURIZED WHOLE MILK,67.0,3.33,3.75,5.0
a2 milk™ 2% reduced fat milk,2% REDUCED FAT A2 MILK,54.0,3.75,2.08,5.0
kroger® carbmaster® ultra filtered skim chocolate milk,"CHOCOLATE ULTRA-FILTERED MILK, CHOCOLATE",88.0,8.33,2.08,6.25
horizon organic dha omega-3 2% reduced fat half gallon,ORGANIC DHA OMEGA-3 2% REDUCED FAT MILK,54.0,4.17,2.08,5.42
kroger® lactose free 2% reduced fat milk half gallon,"Milk, lactose free, reduced fat (2%)",50,3.36,1.9,4.9
kroger® lactose free skim milk half gallon,"Milk, lactose free, fat free (skim)",34,3.43,0.08,4.92
kroger® lactose free 1% lowfat milk half gallon,"Milk, lactose free, low fat (1%)",43,3.38,0.95,5.18
kroger® carbmaster® ultra filtered skim milk,ULTRA-FILTERED NONFAT MILK,25.0,4.58,0.0,1.25
kroger® carbmaster 2% reduced fat milk,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® 1% lowfat chocolate milk quart,"KROGER, 1% LOWFAT MILK, CHOCOLATE, CHOCOLATE",75.0,3.33,1.25,13.3
lactaid® lactose free chocolate whole milk half gallon,"Milk, lactose free, whole",61,3.27,3.2,4.63
kroger® 2% reduced fat milk pint,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® fat free skim milk quart,"Milk, fat free (skim)",34,3.43,0.08,4.92
kroger® 1% lowfat milk quart,"KROGER, 1% LOWFAT MILK",42.0,3.33,1.04,5.0
kroger® fat free skim milk pint,"Milk, fat free (skim)",34,3.43,0.08,4.92
darigold® fit 2% lactose-free reduced fat ultra-filtered milk,2% REDUCED FAT LACTOSE FREE ULTRA FILTERED MILK,46.0,3.33,1.88,3.75
hiland dairy 2% milk,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
hiland dairy 2% reduced fat milk,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
dairy® pure 2% reduced fat milk,"Milk, reduced fat (2%)",50,3.36,1.9,4.9
kroger® sweet acidophilus lowfat milk gallon,SWEET ACIDOPHILUS 1% LOWFAT MILK,46.0,3.33,1.04,5.42
horizon organic low fat 1% milk - aseptic - 12/8 fl oz,Error,N/A,N/A,N/A,N/A
horizon milk 1% reduced fat uht organic,"HORIZON ORGANIC, ORGANIC REDUCED FAT MILK",54.0,3.33,2.08,5.0
lactaid lactose free whole milk,"Milk, lactose free, whole",61,3.27,3.2,4.63
kroger® lactose free vitamin d milk half gallon,LACTOSE FREE VITAMIN A&D MILK,38.0,3.75,0.0,5.0
lactaid® lactose free whole milk half gallon,"Milk, lactose free, whole",61,3.27,3.2,4.63
kroger® whole chocolate milk half gallon,"GOLDEN FLOW WHOLE MILK, ONE HALF GALLON",62.0,3.33,3.33,5.0
kroger® vitamin d whole milk quart,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
kroger®  vitamin d whole milk pint,"Milk, dry, whole, with added vitamin D",2080.0,26.3,26.7,38.4
horizon organic growing years whole milk,Maize metabolomics in relation to cropping system and growing year,N/A,N/A,N/A,N/A
hiland dairy vitamin d milk,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",267,3.46,1.11,10.2
darigold® fit whole milk,"Milk, whole",61,3.27,3.2,4.63
hiland dairy whole milk,"Milk, whole",61,3.27,3.2,4.63
milkadamia unsweetened vanilla macadamia milk,"UNSWEETENED VANILLA MACADAMIA MILK, UNSWEETENED VANILLA",21.0,0.42,1.88,0.42
oatly full fat oat milk,"Cream, sour, full fat",N/A,3.07,18.0,5.56
almond breeze® dairy free unsweetened vanilla almond milk half gallon,"Almond milk, unsweetened",15,0.55,1.22,0.34
simple truth® dairy free unsweetened vanilla almond milk half gallon,"Almond milk, unsweetened",15,0.55,1.22,0.34
silk dairy free unsweetened vanilla almond milk half gallon,"SILK Unsweetened, soymilk",33.0,2.88,1.65,1.65
simple truth® dairy free vanilla almond milk half gallon,"SIMPLE TRUTH, ALMONDS SLICED",633,23.3,50.0,20.0
nesquik® chocolate low fat milk,"Chocolate milk, Nesquik, NS as to type of milk",74,3.41,2.15,10.09
silk dairy free vanilla almond milk half gallon,"SILK Vanilla, soymilk",41.0,2.47,1.44,4.12
almond breeze® dairy free vanilla almond milk half gallon,"VANILLA DAIRY + ALMOND LACTOSE FREE LOWFAT MILK WITH ALMOND BLEND, VANILLA",47.0,2.12,1.06,7.2
kroger® 1% lowfat chocolate milk pint,"KROGER, 1% LOWFAT MILK, CHOCOLATE, CHOCOLATE",75.0,3.33,1.25,13.3
almond breeze® dairy free unsweetened vanilla almond milk,"Almond milk, unsweetened",15,0.55,1.22,0.34
nesquik strawberry milk ready to drink low-fat milk,"Strawberry milk, low fat (1%)",69,3.13,0.89,12.3
silk dairy free dark chocolate almond milk half gallon,"SILK Chocolate, soymilk",58.0,2.06,1.44,9.47
simple truth® dairy free chocolate almond milk half gallon,"SIMPLE TRUTH, ALMONDS SLICED",633,23.3,50.0,20.0
blue diamond® almond breeze® vanilla almond milk,"Almond milk, chocolate",43,0.57,1.2,7.44
simple truth organic® dairy free organic vanilla soy milk half gallon,"SIMPLE TRUTH, ORGANIC SPAGHETTI",357,12.5,1.79,73.2
silk dairy free unsweetened vanilla almond milk,"SILK Unsweetened, soymilk",33.0,2.88,1.65,1.65
planet oat dairy free vanilla oat milk,Oat milk,45,0.66,2.33,5.37
almond breeze® dairy free hint of honey almond milk,"Almonds, honey roasted",579,14.11,45.34,35.84
promised land® midnight chocolate flavored whole milk,"MIDNIGHT CHOCOLATE WHOLE MILK, MIDNIGHT CHOCOLATE",104,3.75,4.17,13.8
planet oat dairy free unsweetened vanilla oat milk,"Oat milk, unsweetened, plain, refrigerated",N/A,0.797,2.75,5.1
califia farms® dairy free unsweetened vanilla almond milk,"Almond milk, unsweetened",15,0.55,1.22,0.34
silk dairy free vanilla almond milk,"SILK Vanilla, soymilk",41.0,2.47,1.44,4.12
silk dairy free vanilla soy milk half gallon,SILK Vanilla soy yogurt (family size),79.0,2.64,1.76,13.7
almond breeze® vanilla unsweetened almond milk,"Almond milk, unsweetened",15,0.55,1.22,0.34
chobani® dairy free vanilla oat milk,"Yogurt, Greek, nonfat, vanilla, CHOBANI",71.0,9.07,0.22,8.09
malk™ vanilla pure almond milk,"PURE ALMOND MALK, UNSWEETENED VANILLA",57.0,2.2,4.85,2.2
silk® chocolate protein almond milk,"SILK Chocolate, soymilk",58.0,2.06,1.44,9.47
promised land® very berry strawberry flavored whole milk,"VERY BERRY STRAWBERRY WHOLE MILK, VERY BERRY STRAWBERRY",104,3.75,4.17,13.3
planet oat® dairy free dark chocolate oat milk,Oat milk,45,0.66,2.33,5.37
hiland chocolate milk,"Almond milk, chocolate",43,0.57,1.2,7.44
almond breeze® dairy free shelf stable vanilla almond milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
almond breeze® dairy free shelf stable unsweetened chocolate almond milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
good2grow® organic chocolate milk,"Almond milk, chocolate",43,0.57,1.2,7.44
almond breeze® dairy free shelf stable chocolate almond milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
silk dairy free shelf stable dark chocolate almond milk,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
nestle® nesquik® chocolate lowfat milk,"Chocolate milk, Nesquik, NS as to type of milk",74,3.41,2.15,10.09
silk dairy free shelf stable vanilla almond milk,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
planet oat® dairy free shelf stable vanilla oat milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
oatly dairy free shelf stable chocolate oat milk,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
hiland dairy chocolate milk,"Chocolate milk, Nesquik, made with non-dairy milk",54,1.35,1.64,8.41
silk dairy free shelf stable chocolate soy milk,"Soy milk, unsweetened, plain, shelf stable",N/A,3.55,2.12,1.29
vita coco® vanilla coconut milk™ vanilla,"VITA COCO, PURE COCONUT WATER",31.0,0.0,0.0,7.5
private selection™ ultra pasteurized belgian chocolate milk quart,ULTRA-PASTEURIZED MILK,133,3.33,10.0,3.33
horizon organic 1% lowfat uht strawberry milk,"HORIZON ORGANIC, 1% ORGANIC LOWFAT MILK",46.0,3.33,1.04,5.42
nutpods® non dairy half & half alternative made with almonds and coconuts,"Cream, half and half",131,3.13,11.5,4.3
milkadamia® unsweetened macadamia milk,"UNSWEETENED MACADAMIA MILK, MACADAMIA",17.0,0.42,1.46,0.42
milkadamia unsweetened milk - case of 6 - 32 fl oz.,"Almond milk, unsweetened",15,0.55,1.22,0.34
milkadamia macadamia milk with unsweetened vanilla - case of 6 - 32 fz,"VANILLA UNSWEETENED MACADAMIA MILK, VANILLA UNSWEETENED",15.0,0.0,1.46,0.42
milkadamia milk mcadamia barista,"BARISTA BARLEY-MILK, BARISTA",46.0,1.25,2.92,3.75
milkadamia milk macadamia unsweetened,"UNSWEETENED MACADAMIA MILK, MACADAMIA",17.0,0.42,1.46,0.42
milkadamia macadamia milk in latte da barista,"LATTE DA MACADAMIA MILK, LATTE DA",33.0,0.42,1.88,3.33
almond breeze® dairy free unsweetened original almond milk half gallon,"Almond milk, unsweetened",15,0.55,1.22,0.34
simple truth® dairy free unsweetened almond milk half gallon,"Almond milk, unsweetened",15,0.55,1.22,0.34
silk dairy free unsweeted original almond milk half gallon,SILK Original Creamer,100,0.0,6.67,6.67
simple truth® dairy free original almond milk half gallon,"SIMPLE TRUTH, ALMONDS SLICED",633,23.3,50.0,20.0
silk dairy free original almond milk half gallon,SILK Original Creamer,100,0.0,6.67,6.67
almond breeze® dairy free unsweetened original almond milk,"Almond milk, unsweetened",15,0.55,1.22,0.34
simple truth organic® dairy free organic original soy milk half gallon,"SIMPLE TRUTH ORGANIC, BEEF JERKY, ORIGINAL",286,39.3,3.57,21.4
silk dairy free organic unsweetened plain soy milk half gallon,SILK Plain soy yogurt,66.0,2.64,1.76,9.69
almond breeze® dairy free original almond milk half gallon,"DAIRY FREE ALMOND COOKING MILK, ALMOND",67.0,3.33,5.0,3.33
chobani® dairy free extra creamy oat milk,"Yogurt, Greek, Blueberry, CHOBANI",82.0,7.23,0.24,12.8
silk dairy free unsweetened plain coconut milk half gallon,"SILK Plain, soymilk",41.0,2.88,1.65,3.29
planet oat dairy free unsweeted original oat milk,Oat milk,45,0.66,2.33,5.37
silk dairy free protein original soy milk half gallon,SILK Blueberry soy yogurt,88.0,2.35,1.18,17.1
planet oat® dairy free extra creamy original oat milk,Oat milk,45,0.66,2.33,5.37
califia farms® dairy free unsweetened plain almond milk,"Almond milk, unsweetened, plain, refrigerated",N/A,0.656,1.56,0.671
simple truth® dairy free original coconut milk half gallon,"Cream, half and half, fat free",59,2.6,1.4,9
califia farms® dairy free organic unsweeted original almond milk,"CALIFIA FARMS, MATCHA ALMOND MILK WITH CEREMONIAL GREEN TEA",29.0,0.65,1.13,3.87
silk dairy free unsweeted original almond milk,SILK Original Creamer,100,0.0,6.67,6.67
planet oat® dairy free barista oat milk,BARISTA OAT MILK,47.0,0.42,2.11,9.3
chobani® dairy free original oat milk,"Yogurt, Greek, Blueberry, CHOBANI",82.0,7.23,0.24,12.8
so delicious® organic dairy-free unsweetened coconut milk,"SO DELICIOUS DAIRY FREE, COCONUT MILK BEVERAGE, CHOCOLATE",38.0,0.42,2.08,5.42
simple truth® dairy free shelf stable unsweetened plain coconut milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
califia farms® dairy free extra creamy oat milk,Oat milk,45,0.66,2.33,5.37
silk® original protein almond milk,SILK Original Creamer,100,0.0,6.67,6.67
silk dairy free unsweetened creamy cashew milk half gallon,"SILK Unsweetened, soymilk",33.0,2.88,1.65,1.65
blue diamond® almond breeze® original almond milk,"Almond milk, chocolate",43,0.57,1.2,7.44
malk™ unsweetened pure almond milk,"PURE ALMOND MALK, UNSWEETENED VANILLA",57.0,2.2,4.85,2.2
ripple® original unsweetened plant-based milk,"RIPPLE, UNSWEETENED NUTRITIOUS PLANT-BASED MILK, ORIGINAL, ORIGINAL",31.0,3.38,2.25,0.0
simple truth organic™ dairy free organic shelf stable unsweetened plain soy milk quart,"Soy milk, unsweetened, plain, shelf stable",N/A,3.55,2.12,1.29
ripple® kids original plant-based milk,"RIPPLE, UNSWEETENED NUTRITIOUS PLANT-BASED MILK, ORIGINAL, ORIGINAL",31.0,3.38,2.25,0.0
simple truth™ dairy free shelf stable unsweetened plain almond milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
califia farms® dairy free organic original oat milk,Oat milk,45,0.66,2.33,5.37
blue diamond almond breeze almond milk blended with real bananas,"Almond milk, chocolate",43,0.57,1.2,7.44
simple truth™ dairy free shelf stable original oat milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
simple truth® plant based non dairy unsweetened oat milk,"OAT MILK CHOCOLATE PLANT BASED NON-DAIRY BEVERAGE, OAT MILK CHOCOLATE",62.0,0.83,1.88,10.4
oatly barista oat milk,BARISTA OAT MILK,47.0,0.42,2.11,9.3
ripple® kids unsweetened original plant-based milk,"RIPPLE, UNSWEETENED NUTRITIOUS PLANT-BASED MILK, ORIGINAL, ORIGINAL",31.0,3.38,2.25,0.0
simple truth organic™ dairy free organic shelf stable unsweetened almond milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
simple truth organic® dairy free organic shelf stable original coconut milk,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
simple truth™ dairy free unsweetened almond milk half gallon,"Almond milk, unsweetened",15,0.55,1.22,0.34
oatly original oat milk,Oat milk,45,0.66,2.33,5.37
malk™ organic original oat milk,Oat milk,45,0.66,2.33,5.37
thai kitchen® unsweetened coconut milk,"SIMPLY ASIA, THAI KITCHEN, COCONUT MILK",150,0.0,15.0,1.25
planet oat® dairy free shelf stable original oat milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
silk dairy free organic protein shelf stable soy milk quart,"Soy milk, unsweetened, plain, shelf stable",N/A,3.55,2.12,1.29
so delicious® dairy free organic unsweetened coconut milk,"SO DELICIOUS DAIRY FREE, COCONUT MILK BEVERAGE, CHOCOLATE",38.0,0.42,2.08,5.42
planet oat® dairy free shelf stable extra creamy original oat milk quart,"Almond milk, unsweetened, plain, shelf stable",N/A,0.555,1.22,0.337
califia farms® dairy-free organic unsweetened original coconut milk,"UNSWEETENED ORGANIC DAIRY-FREE COCONUT CASHEW OAT MILK, UNSWEETENED",38.0,0.42,3.33,1.67
almond breeze® unsweetened original almond milk,"Almond milk, unsweetened",15,0.55,1.22,0.34
califia farms® dairy free organic vanilla almond milk,"CALIFIA FARMS, MATCHA ALMOND MILK WITH CEREMONIAL GREEN TEA",29.0,0.65,1.13,3.87
laguna coconut milk drink,Coconut milk,31,0.21,2.08,2.92
pacific foods original hemp milk,"Pacific Foods Original Hemp Milk, Plant Based Milk, 32 oz Carton",64.0,2.0,2.41,8.02
thai kitchen lite coconut milk,"SIMPLY ASIA, THAI KITCHEN, COCONUT MILK",150,0.0,15.0,1.25
betterbody foods oatsome™ organic original oat milk,Oat milk,45,0.66,2.33,5.37
"kuii, coconut milk original flavor (pack of 18)",Coconut milk,31,0.21,2.08,2.92
"kuii, coconut milk original flavor (pack of 32)",Coconut milk,31,0.21,2.08,2.92
"non-dairy milk, vanilla plant based, gluten free | 8 oz (pack of 12)","Non-dairy milk, NFS",31,1.14,1.6,3.04
thai kitchen organic lite coconut milk - case of 12 - 13.66 fl oz.,"SIMPLY ASIA, THAI KITCHEN, COCONUT MILK",150,0.0,15.0,1.25
"kuii, coconut milk original flavor (pack of 6)",Coconut milk,31,0.21,2.08,2.92
minor figures - oat milk organic,Oat milk,45,0.66,2.33,5.37
ripple milk aseptic vanilla 32 fo,"Milk shakes, thick vanilla",468,3.86,3.03,17.8
thai kitchen - unsweetened coconut milk - case of 6 - 25.36 oz.,"SIMPLY ASIA, THAI KITCHEN, COCONUT MILK",150,0.0,15.0,1.25
minor figures oat milk case of 6-32 fz,"MINOR'S Vegan Alfredo Sauce, 32 Oz (Pack of 6)",143,1.59,14.3,4.76
"kuii, coconut milk original flavor (pack of 8)",Coconut milk,31,0.21,2.08,2.92
good karma flax milk - protein - vanilla - case of 6 - 32 fl oz.,Flax seeds,545,18.04,37.28,34.36
organic traditions coconut milk powder 5.0 oz pkg,Coconut milk,31,0.21,2.08,2.92
"kuii, coconut milk original flavor (pack of 12)",Coconut milk,31,0.21,2.08,2.92
mooala milk banana original organic,"Babyfood, cereal, mixed, with bananas, prepared with whole milk",362,3.82,3.46,10.0
native forest fair trade organic coconut milk - case of 6 - 96 fl oz.,ORGANIC & FAIR TRADE VINEGAR WITH COCONUT SYRUP,200,6.67,0.0,40.0
let's do organic coconut milk - sweetened condensed - case of 6 - 7.4 fl oz.,"Milk, condensed, sweetened",321,7.91,8.7,54.4
"jol almond milk unsweetened plain,coffee & plant milk creamer set of 2","Almond milk, unsweetened, plain, refrigerated",N/A,0.656,1.56,0.671
lattini milk unsweetend sunflower,"ORIGINAL UNSWEETEND ALMONDMILK, ORIGINAL UNSWEETEND",12.0,0.42,1.04,0.42
kiki milk - original kiki milk 32 fl oz pack of 6,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
kiki milk organic plant-based milk original - 8 fl oz (237 ml),ORIGINAL PLANT-BASED MILK,38.0,3.33,1.88,2.5
horizon organic dairy - milk asptc plain whole - 1 each - 12/8 fz,Error,N/A,N/A,N/A,N/A
"kuii, coconut milk original flavor (pack of 16)",Coconut milk,31,0.21,2.08,2.92
lattini milk lattini sunflower,"Oil, sunflower",N/A,N/A,N/A,N/A
planet oat - original oat milk - case of 6-32 fz,Oat milk,45,0.66,2.33,5.37
so delicious beverage milk coconut unsweetened organic 32 fo,"Beverages, rice milk, unsweetened",195,0.28,0.97,9.17
mooala milk almond unsweetened vanilla bean organic,"Almond milk, unsweetened",15,0.55,1.22,0.34
"kuii, coconut milk original flavor (pack of 2)","Puddings, coconut cream, dry mix, instant, prepared with 2% milk",448,2.9,2.3,19.2
kiki milk - original kiki milk - 8 fl oz - pack of 12,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
"kuii, coconut milk original flavor (pack of 14)",Coconut milk,31,0.21,2.08,2.92
planet oat vanilla oat milk - case of 6-32 fz,Oat milk,45,0.66,2.33,5.37
"kuii, coconut milk original flavor (pack of 48)",Coconut milk,31,0.21,2.08,2.92
ripple milk aseptic original 32 fo,"RIPPLES ORIGINAL POTATO CHIPS, RIPPLES ORIGINAL",571,7.14,35.7,53.6
"conchita coconut milk, leche de coco 13.5 oz (pack of 8)",LECHE DE COCO COCONUT MILK,112,1.25,12.5,2.5
kiki milk - unsweetened kiki milk 32 fl oz pack of 6,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
"kuii, coconut milk original flavor (pack of 20)",Coconut milk,31,0.21,2.08,2.92
kiki milk organic plant-based milk chocolate - 8 fl oz (237 ml),"CHOCOLATE PLANT-BASED MILK, CHOCOLATE",58.0,3.33,1.88,7.5
minor figures milk oat light barista,BARISTA OAT MILK,47.0,0.42,2.11,9.3
"silk shelf-stable soy milk singles, very vanilla 8 oz., 6 pack","Soy milk, unsweetened, plain, shelf stable",N/A,3.55,2.12,1.29
"kuii, coconut milk original flavor (pack of 4)",Coconut milk,31,0.21,2.08,2.92
thai kitchen coconut milk,"SIMPLY ASIA, THAI KITCHEN, COCONUT MILK",150,0.0,15.0,1.25
ka-me organic coconut milk - case of 12 - 13.5 fz,"KA-ME COCONUT MILK, 13.5 FL OZ",177,1.27,17.7,3.8
mooala milk almond unsweet organic,"Almond milk, chocolate",43,0.57,1.2,7.44
meyenberg evaporated goat milk - case of 12 - 12 fl oz.,"PET EVAPORATED MILK, 12 FL OZ",133,6.67,6.67,10.0
andre prost coconut milk sweetened condensed 11.6 oz,"ANDRE PROST, UNSWEETENED COCONUT MILK",150,1.25,13.8,2.5
mooala milk banana strawberry,"Babyfood, fruit, banana and strawberry, junior",457,0.71,0.37,25.8
pacific foods barista series original almond milk,Barista Series Soy Original,37.0,2.07,1.45,3.72
native forest organic coconut milk - case of 12 - 13.5 fl oz.,BADIA COCONUT MILK 13.5 FL OZ,167,0.0,18.3,3.33
taste of thai coconut milk lite,"SMART SOUP, Thai Coconut Curry",36.0,0.8,1.06,6.5
kiki milk organic plant-based milk unsweetened - 32 fl oz (946 ml),"Pacific Foods Original Unsweetened Cashew Milk, Plant Based Milk, 32 fl oz Carton",21.0,0.42,1.67,0.83
"kuii, coconut milk original flavor (pack of 24)",Coconut milk,31,0.21,2.08,2.92
"kuii, coconut milk original flavor (pack of 10)",Coconut milk,31,0.21,2.08,2.92
kiki milk organic plant-based milk original - 32 fl oz (946 ml),"Pacific Foods Original Unsweetened Cashew Milk, Plant Based Milk, 32 fl oz Carton",21.0,0.42,1.67,0.83
"kuii, coconut milk original flavor (pack of 3)",Coconut milk,31,0.21,2.08,2.92
lattini milk chocolate sunflower,"Oil, sunflower",N/A,N/A,N/A,N/A
kiki milk - chocolate kiki milk - 8 fl oz - pack of 12,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
minor figures - oat milk organic - case of 6,Oat milk,45,0.66,2.33,5.37
kiki milk - chocolate kiki milk 32 fl oz pack of 6,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
kiki milk - mac nut kiki milk 32 fl oz pack of 6,"KIKI, BEVERAGE, ORANGEADE, ORANGEADE",48.0,0.0,0.0,11.6
