kroger_product,description,calories,protein,fat,carbohydrates
Product_117,Description_117,248,13.05,8.33,2.77
Product_118,Description_118,127,16.8,14.73,31.51
Product_119,Description_119,354,4.57,3.92,5.81
Product_120,Description_120,357,18.13,5.68,28.2
Product_121,Description_121,365,4.42,0.61,35.53
Product_122,Description_122,282,7.1,9.23,10.43
Product_123,Description_123,300,14.89,12.14,5.23
Product_124,Description_124,394,15.04,7.9,46.48
Product_125,Description_125,206,13.62,4.07,29.81
Product_126,Description_126,428,19.91,13.85,45.81
Product_127,Description_127,336,5.71,14.45,35.86
Product_128,Description_128,88,17.84,7.69,15.81
Product_129,Description_129,352,2.57,0.43,25.02
Product_130,Description_130,351,8.02,7.28,28.72
Product_131,Description_131,195,16.84,3.8,42.55
Product_132,Description_132,163,8.66,12.6,38.96
Product_133,Description_133,197,7.32,3.13,48.8
Product_134,Description_134,51,11.88,4.75,48.48
Product_135,Description_135,417,4.13,4.76,4.8
Product_136,Description_136,267,6.08,9.36,16.74
Product_137,Description_137,116,2.2,14.79,11.63
Product_138,Description_138,61,7.05,10.78,47.8
Product_139,Description_139,345,4.35,9.35,11.36
Product_140,Description_140,413,11.15,5.49,32.72
Product_141,Description_141,262,11.39,4.08,37.95
Product_142,Description_142,377,7.74,5.02,8.56
Product_143,Description_143,227,17.71,9.5,22.76
Product_144,Description_144,228,6.36,11.2,30.17
Product_145,Description_145,239,15,7.5,19.5
Product_146,Description_146,258,15.03,7.62,45.27
Product_147,Description_147,470,2,14.15,5.7
Product_148,Description_148,193,19.51,5.49,44.63
Product_149,Description_149,386,13.62,0.95,12.94
Product_150,Description_150,252,7.07,11.94,23.92
Product_151,Description_151,129,14.83,2.68,48.65
Product_152,Description_152,112,17.22,0.91,40.88
Product_153,Description_153,400,7.61,7.12,5.14
Product_154,Description_154,282,18.91,6.42,36.78
Product_155,Description_155,346,13.11,0.86,26.8
Product_156,Description_156,426,3.58,5.07,16.01
Product_157,Description_157,156,16.32,8.64,10.2
Product_158,Description_158,133,1.89,6.24,31.87
Product_159,Description_159,275,9,8.83,47.76
Product_160,Description_160,163,16.25,1.91,33.6
Product_161,Description_161,348,3.96,13.52,26.49
Product_162,Description_162,389,4.28,0.13,24.64
Product_163,Description_163,432,14.79,13.6,38.06
Product_164,Description_164,129,15.8,11.43,31.78
Product_165,Description_165,90,19.98,0.84,31.37
Product_166,Description_166,101,18.75,10.03,18.04
Product_167,Description_167,135,1.03,11.03,23.28
Product_168,Description_168,342,10.72,9.94,15.59
Product_169,Description_169,371,14.84,4.98,33.44
Product_170,Description_170,331,5.11,5.36,16.44
Product_171,Description_171,481,11.1,11.72,2.36
Product_172,Description_172,304,9.16,14.95,9.58
Product_173,Description_173,439,10.82,1.71,31.4
Product_174,Description_174,54,5.85,4.41,34.52
Product_175,Description_175,488,12.78,3.73,31.03
Product_176,Description_176,58,17.08,11.6,20.27
Product_177,Description_177,176,13.62,3.86,8.82
Product_178,Description_178,284,17.8,10.89,8.52
Product_179,Description_179,385,8.85,1.8,26.96
Product_180,Description_180,449,9.03,5.76,6.03
Product_181,Description_181,291,11.34,10.08,19.79
Product_182,Description_182,233,15.99,9.76,8.96
Product_183,Description_183,175,17.09,13.3,1.45
Product_184,Description_184,226,15.7,2.64,22.71
Product_185,Description_185,480,1.17,5.8,39.54
Product_186,Description_186,159,9.07,9.26,34.21
Product_187,Description_187,262,1.31,3.17,16.78
Product_188,Description_188,86,3.83,1.75,32.78
Product_189,Description_189,246,19.38,14.86,7.13
Product_190,Description_190,201,1.84,6.73,38.44
Product_191,Description_191,199,2.5,0.48,49.37
Product_192,Description_192,136,4.39,0.24,8.57
Product_193,Description_193,449,11.45,5.1,23.28
Product_194,Description_194,261,19.91,13.36,27.84
Product_195,Description_195,229,11.29,3.83,21.59
Product_196,Description_196,100,8.7,10.73,45.76
Product_197,Description_197,448,5.33,1.07,23.91
Product_198,Description_198,128,4.73,10.66,18.19
Product_199,Description_199,169,11.33,0.1,21.18
Product_200,Description_200,361,7.01,0.14,31.34
Product_201,Description_201,414,4.71,5.3,9.24
Product_202,Description_202,347,17.4,9.96,7.97
Product_203,Description_203,467,18.16,7.09,25.62
Product_204,Description_204,399,12.85,8.04,16.21
Product_205,Description_205,100,19.81,9.13,2.5
Product_206,Description_206,413,17.24,3.28,20.96
Product_207,Description_207,454,12.02,10.67,11.69
Product_208,Description_208,284,10.37,0.8,5.89
Product_209,Description_209,259,17.21,8.06,26.93
Product_210,Description_210,430,14.85,6.87,46.8
Product_211,Description_211,440,5.48,4.11,21.67
Product_212,Description_212,315,3.42,10.36,40.97
Product_213,Description_213,187,15.69,11.42,15.05
Product_214,Description_214,121,7.63,3.59,16.17
Product_215,Description_215,173,3.25,6.64,23.02
Product_216,Description_216,55,4.43,12.42,20.22
Product_217,Description_217,168,9.92,2.2,45.46
Product_218,Description_218,479,7.84,13.02,33.15
Product_219,Description_219,432,4.12,6.08,11.79
Product_220,Description_220,197,10.49,2.4,44.62
Product_221,Description_221,190,15.75,3.05,38.98
Product_222,Description_222,207,4.66,12.88,31.79
Product_223,Description_223,368,17.51,13.34,44.48
Product_224,Description_224,222,19.18,13.81,4.09
Product_225,Description_225,246,9.87,12.82,1.7
Product_226,Description_226,276,13.99,5.03,19.1
Product_227,Description_227,113,17.88,5.49,31.25
Product_228,Description_228,448,5.95,2.93,16.86
Product_229,Description_229,335,5.52,14.6,7.66
Product_230,Description_230,122,17.86,6.23,5.76
Product_231,Description_231,430,16.17,13.95,2.13
Product_232,Description_232,261,7.96,4.58,26.21
Product_233,Description_233,141,2.2,1.18,30.89
Product_234,Description_234,496,1.92,1.44,40.94
Product_235,Description_235,108,19.53,13.47,46.78
Product_236,Description_236,280,11.83,3.36,23.44
Product_237,Description_237,261,7.08,12.67,10.92
Product_238,Description_238,422,16.98,10.96,43.64
Product_239,Description_239,214,7.9,14.77,40.75
Product_240,Description_240,235,9.77,14.03,47.12
Product_241,Description_241,440,16.75,13.33,24.88
Product_242,Description_242,333,15.55,11.97,11.9
Product_243,Description_243,188,3.11,2.3,23.47
Product_244,Description_244,276,1.95,8.65,16.09
Product_245,Description_245,454,13.04,14.12,47.49
Product_246,Description_246,279,18.83,6.49,38.87
Product_247,Description_247,74,6.9,5.43,27.52
Product_248,Description_248,375,12.05,12.62,37.54
Product_249,Description_249,450,19.41,12.47,27.09
Product_250,Description_250,315,8.48,10,42.76
Product_251,Description_251,285,17.99,5.5,30.5
Product_252,Description_252,122,2.35,12.91,35.36
Product_253,Description_253,360,13.79,11.54,10.04
Product_254,Description_254,89,13.48,14.55,34.9
Product_255,Description_255,84,5.3,5.46,5.73
Product_256,Description_256,128,19.92,12.28,28.59
Product_257,Description_257,361,16.28,0.02,49.81
Product_258,Description_258,249,11.84,0.75,22.83
Product_259,Description_259,297,14.09,2.74,8.04
Product_260,Description_260,263,6.37,11.43,29.98
Product_261,Description_261,70,12.59,4.06,32.76
Product_262,Description_262,270,10.88,10.99,38.08
Product_263,Description_263,444,8.91,13.88,11.29
Product_264,Description_264,182,13.3,7.85,7.83
Product_265,Description_265,335,14.16,14.19,3.49
Product_266,Description_266,404,7.76,6.5,7.43
Product_267,Description_267,259,11.2,10.43,41.04
Product_268,Description_268,225,11.95,4.39,21.65
Product_269,Description_269,376,18.84,6.24,2.76
Product_270,Description_270,225,14.71,2.02,42.81
Product_271,Description_271,456,13.87,8.97,30.42
Product_272,Description_272,395,4.9,14.86,20.82
Product_273,Description_273,479,3.23,11.22,6.7
Product_274,Description_274,428,10.51,1.23,1.61
Product_275,Description_275,109,10.7,2.22,10.05
Product_276,Description_276,425,17.86,14.49,33.35
Product_277,Description_277,265,7.43,2.03,40.31
Product_278,Description_278,226,6.07,10.8,42.62
Product_279,Description_279,318,4.99,9.79,23.93
Product_280,Description_280,113,15.81,4.83,7.19
Product_281,Description_281,414,5.17,0.56,13.91
Product_282,Description_282,128,19.8,12.54,11.33
Product_283,Description_283,367,13.72,12.53,6.95
Product_284,Description_284,232,10.14,7.16,11.63
Product_285,Description_285,390,19.4,9.34,29.85
Product_286,Description_286,170,19.42,10.52,5.41
Product_287,Description_287,213,3.81,9.78,27.19
Product_288,Description_288,409,18.78,10.29,29.4
Product_289,Description_289,227,6.28,7.6,15.37
Product_290,Description_290,82,19.98,1.06,30.19
Product_291,Description_291,239,15.63,9.64,17.88
Product_292,Description_292,294,2.36,3.74,36.61
Product_293,Description_293,492,4.09,7.68,14.03
Product_294,Description_294,313,17.08,8.81,33.83
Product_295,Description_295,339,4.3,5.95,31.73
Product_296,Description_296,331,15.28,0.32,7.92
Product_297,Description_297,302,16.71,7.01,46.89
Product_298,Description_298,311,4.33,7.34,7.63
Product_299,Description_299,450,12.9,11.71,14.07
Product_300,Description_300,379,8.06,14.59,48.79
Product_301,Description_301,311,18.53,14.13,46.75
Product_302,Description_302,272,10.07,6.56,20.22
Product_303,Description_303,413,16.65,0.32,5.99
Product_304,Description_304,443,2.31,6.28,12.89
Product_305,Description_305,487,19.87,12.12,31.97
Product_306,Description_306,128,5.21,5.81,34.09
Product_307,Description_307,336,3.98,12.89,34.2
Product_308,Description_308,93,19.72,12.61,25.49
Product_309,Description_309,349,9.06,13.59,15.83
Product_310,Description_310,341,15.2,7.24,38.86
Product_311,Description_311,57,11.14,11.27,41.55
Product_312,Description_312,351,16.77,9.45,8.11
Product_313,Description_313,356,7,12.02,35.36
Product_314,Description_314,184,4.58,14.68,1.23
Product_315,Description_315,223,7.23,0.93,26.21
Product_316,Description_316,144,11.57,5.14,9.46
Product_317,Description_317,444,5.3,9.97,30.44
Product_318,Description_318,398,10.91,1.38,14.2
Product_319,Description_319,177,8.7,13.87,15.16
Product_320,Description_320,466,8.26,7.16,38.51
Product_321,Description_321,110,7.18,2.87,15.8
Product_322,Description_322,300,4.2,11.07,11.82
Product_323,Description_323,429,17.44,11.19,29.77
Product_324,Description_324,326,13.98,10.91,35.57
Product_325,Description_325,327,10.71,3.13,14.33
Product_326,Description_326,65,18.9,8.98,3.63
Product_327,Description_327,87,4.76,0.12,20.25
Product_328,Description_328,242,11.79,13.62,12.04
Product_329,Description_329,283,1.89,0.66,45.11
Product_330,Description_330,317,10.76,0.47,44.98
Product_331,Description_331,367,10.59,1.21,14.02
Product_332,Description_332,180,16.38,8.77,42.48
Product_333,Description_333,275,19.83,1.39,30.16
Product_334,Description_334,384,14.37,6.84,3.05
Product_335,Description_335,414,13.35,5.52,38.18
Product_336,Description_336,492,16.97,10.4,48.51
Product_337,Description_337,395,6.75,7.46,33.72
Product_338,Description_338,71,14.22,14.96,9.44
Product_339,Description_339,144,6.66,0.68,4.52
Product_340,Description_340,256,1.54,7.64,46.72
Product_341,Description_341,255,17.45,1.53,47.94
Product_342,Description_342,270,19.3,10.43,2.69
Product_343,Description_343,66,14.38,7.19,32.79
Product_344,Description_344,185,19.37,9.53,35.71
Product_345,Description_345,110,12.43,0.59,25.88
Product_346,Description_346,340,8.14,6.63,38.31
Product_347,Description_347,382,17.29,11.42,46.11
Product_348,Description_348,90,17.98,0.87,41.1
Product_349,Description_349,387,1.25,8.69,20.67
Product_350,Description_350,156,10.47,8.84,7.6
Product_351,Description_351,192,2.72,2.31,34.53
Product_352,Description_352,237,13.44,14.97,11.27
Product_353,Description_353,318,14.46,14.11,42.08
Product_354,Description_354,106,1.15,2.93,11.71
Product_355,Description_355,69,17.92,14.2,39.54
Product_356,Description_356,194,16.08,7.79,1.89
Product_357,Description_357,160,19.63,4.58,1.4
Product_358,Description_358,433,6.68,11.53,43.62
Product_359,Description_359,296,10.52,8.92,16.31
Product_360,Description_360,210,13.59,12.45,19.24
Product_361,Description_361,273,13.02,9.23,28.39
Product_362,Description_362,412,10.96,3.95,29.96
Product_363,Description_363,312,15.8,13.87,19.47
Product_364,Description_364,466,7.48,4.86,8.32
Product_365,Description_365,272,6.69,4.28,11.84
Product_366,Description_366,353,17.74,7.51,27.92
Product_367,Description_367,56,15.06,3.16,24.48
Product_368,Description_368,495,8.74,12.34,36.56
Product_369,Description_369,363,15.7,2.57,9.14
Product_370,Description_370,414,3.94,12.29,16.22
Product_371,Description_371,293,10.15,4.18,41.59
Product_372,Description_372,363,14.11,6.68,40.82
Product_373,Description_373,157,2.91,9.69,19.63
Product_374,Description_374,168,13.59,13.25,43.14
Product_375,Description_375,375,1.04,6.97,7.63
Product_376,Description_376,290,9.62,6.96,13.58
Product_377,Description_377,358,15.1,7.7,20.33
Product_378,Description_378,134,13.72,11.72,8.55
Product_379,Description_379,116,12.09,13.82,26
Product_380,Description_380,232,11.67,6.19,26.72
Product_381,Description_381,248,18.72,12.7,25.6
Product_382,Description_382,355,19.56,7.5,36.53
Product_383,Description_383,233,7.23,5.57,10.15
Product_384,Description_384,176,6.26,6.82,32.86
Product_385,Description_385,464,17.17,12.88,29.32
Product_386,Description_386,78,16.39,13,28.75
Product_387,Description_387,482,3.92,11.37,5.61
Product_388,Description_388,492,5.82,14.24,34.12
Product_389,Description_389,485,11.75,1.38,32.94
Product_390,Description_390,455,1.94,2.43,5.54
Product_391,Description_391,491,14.42,7.04,7.43
Product_392,Description_392,221,4.7,8.73,42.19
Product_393,Description_393,134,13.37,7.8,40.06
Product_394,Description_394,156,7.39,0.26,28.72
Product_395,Description_395,73,4.11,11.76,38.49
Product_396,Description_396,292,15.78,1.56,11.42
Product_397,Description_397,294,16.8,8.89,2.77
Product_398,Description_398,127,13.99,6.08,18.53
Product_399,Description_399,315,17.85,0.2,40.15
Product_400,Description_400,422,9.52,13.17,8.95
Product_401,Description_401,202,9.96,7.79,13.21
Product_402,Description_402,309,7.3,6.85,30.31
Product_403,Description_403,162,10.71,8.77,14
Product_404,Description_404,396,3.11,7.28,21.11
Product_405,Description_405,350,10.9,0.9,47.4
Product_406,Description_406,57,18.1,2.09,15.1
Product_407,Description_407,71,6.43,9.75,13.33
Product_408,Description_408,404,10.15,6.25,11.88
Product_409,Description_409,63,19.48,12.52,10.03
Product_410,Description_410,299,6.81,5.85,38.02
Product_411,Description_411,204,1.49,12.76,46.56
Product_412,Description_412,117,2.07,5.95,27.01
Product_413,Description_413,254,11.71,7.19,37.8
Product_414,Description_414,368,3.87,10.06,21.39
Product_415,Description_415,269,15.79,13.62,23.05
Product_416,Description_416,295,8.37,12.32,31.34
Product_417,Description_417,258,7.35,7.95,25.78
Product_418,Description_418,488,5.89,2.14,17.05
Product_419,Description_419,304,2.52,6.21,32.36
Product_420,Description_420,118,6.11,2.55,9.47
Product_421,Description_421,186,15.02,9.1,37.98
Product_422,Description_422,315,11.04,14.17,19.62
Product_423,Description_423,257,11.73,13.5,13.08
Product_424,Description_424,432,6.98,12.53,20.23
Product_425,Description_425,454,18.16,14.66,48.33
Product_426,Description_426,206,7.43,11.16,2.85
Product_427,Description_427,426,19.32,9.97,20.41
Product_428,Description_428,241,15.9,8.32,4.95
Product_429,Description_429,60,17.35,6.49,13.46
Product_430,Description_430,187,2.07,8.71,19.09
Product_431,Description_431,246,3.76,2.87,47.95
Product_432,Description_432,310,1.06,4.94,12.43
Product_433,Description_433,468,7.29,6.24,26.18
Product_434,Description_434,96,12.6,3.17,22.46
Product_435,Description_435,418,11.97,10.51,20.88
Product_436,Description_436,63,10.44,14.05,39.13
Product_437,Description_437,304,7.86,2.27,8.23
Product_438,Description_438,263,3.75,9.83,33.71
Product_439,Description_439,462,5.97,5.36,23.98
Product_440,Description_440,98,6.93,9.32,39.05
Product_441,Description_441,469,3.54,0.73,15.83
Product_442,Description_442,352,19.73,6.91,23.6
Product_443,Description_443,356,10.92,7.87,26.26
Product_444,Description_444,99,12.43,10.86,4.98
Product_445,Description_445,318,18.73,4.28,37.02
Product_446,Description_446,382,3.83,4.59,9.93
Product_447,Description_447,168,10.42,7.23,40.94
Product_448,Description_448,231,7.95,9.95,3.38
Product_449,Description_449,224,15.74,5.07,2.9
Product_450,Description_450,350,6.23,7.21,32.74
Product_451,Description_451,445,17.3,10.47,31.1
Product_452,Description_452,243,15,4.73,11.17
Product_453,Description_453,244,8.07,13.99,44.56
Product_454,Description_454,64,9.34,7,12.56
Product_455,Description_455,385,12.28,0.88,46.39
Product_456,Description_456,477,1.62,2.17,43.79
Product_457,Description_457,327,14.63,13.92,46.26
Product_458,Description_458,355,19.5,9.73,36.08
Product_459,Description_459,234,5.77,13.79,24.8
Product_460,Description_460,307,19.23,7.6,13.96
Product_461,Description_461,480,17.35,12.87,16.45
Product_462,Description_462,319,2.91,4.21,45.99
Product_463,Description_463,315,15.28,3.39,13.4
Product_464,Description_464,399,10.72,9.72,38.25
Product_465,Description_465,241,2.72,14.84,23.57
Product_466,Description_466,311,15.01,5.71,11.09
Product_467,Description_467,141,4.76,9,46.58
Product_468,Description_468,368,16.6,14.62,44.03
Product_469,Description_469,155,11.54,2.81,8.17
Product_470,Description_470,498,6.35,2.9,14.57
Product_471,Description_471,460,9.48,0.82,21.07
Product_472,Description_472,152,13.56,10.11,17.19
Product_473,Description_473,270,14.89,2.44,14.75
Product_474,Description_474,242,11.95,3.42,10.67
Product_475,Description_475,449,10.05,12.18,10.92
Product_476,Description_476,133,15.48,9.38,25.32
Product_477,Description_477,69,15.15,2.95,27.68
Product_478,Description_478,250,13.02,9.27,30.67
Product_479,Description_479,52,1.7,1.18,39
Product_480,Description_480,174,14.88,0.03,2.59
Product_481,Description_481,228,19.14,6.76,47.12
Product_482,Description_482,111,14.3,12.72,47.4
Product_483,Description_483,352,1.94,2.74,46.84
Product_484,Description_484,215,1.29,13.23,25.56
Product_485,Description_485,496,7.7,12.97,12.6
Product_486,Description_486,284,15.85,12.77,26.11
Product_487,Description_487,188,3.3,1.13,11.7
Product_488,Description_488,59,1.11,0.24,33.29
Product_489,Description_489,349,11.43,7.42,22.58
Product_490,Description_490,464,3.44,6.4,37.06
Product_491,Description_491,332,11.47,3.52,43.55
Product_492,Description_492,457,7,12.29,38.52
Product_493,Description_493,111,16.59,6.21,34.14
Product_494,Description_494,252,10.94,3.6,47.46
Product_495,Description_495,465,17.89,9.22,43.37
Product_496,Description_496,374,7.52,12.55,37.62
Product_497,Description_497,491,6.5,3.12,33.49
Product_498,Description_498,225,14.52,11.95,1.54
Product_499,Description_499,102,12.98,13.89,15.28
Product_500,Description_500,328,4.35,10.28,26.88
