kroger_product,description,calories,protein,fat,carbohydrates
a2 milk™ 2% reduced fat milk,2% reduced fat a2 milk,54,3.75,2.08,5
kroger® carbmaster® ultra filtered skim chocolate milk,"chocolate ultra-filtered milk, chocolate",88,8.33,2.08,6.25
horizon organic dha omega-3 2% reduced fat half gallon,organic dha omega-3 2% reduced fat milk,54,4.17,2.08,5.42
kroger® lactose free skim milk half gallon,"milk, lactose free, fat free (skim)",34,3.43,0.08,4.92
kroger® lactose free 1% lowfat milk half gallon,"milk, lactose free, low fat (1%)",43,3.38,0.95,5.18
lactaid® lactose free chocolate whole milk half gallon,"milk, lactose free, whole",61,3.27,3.2,4.63
darigold® fit 2% lactose-free reduced fat ultra-filtered milk,2% reduced fat lactose free ultra filtered milk,46,3.33,1.88,3.75
kroger® sweet acidophilus lowfat milk gallon,sweet acidophilus 1% lowfat milk,46,3.33,1.04,5.42
horizon milk 1% reduced fat uht organic,"horizon organic, organic reduced fat milk",54,3.33,2.08,5
hiland dairy vitamin d milk,"milk, chocolate, lowfat, with added vitamin a and vitamin d",267,3.46,1.11,10.2
milkadamia unsweetened vanilla macadamia milk,"unsweetened vanilla macadamia milk, unsweetened vanilla",21,0.42,1.88,0.42
almond breeze® dairy free unsweetened vanilla almond milk half gallon,"almond milk, unsweetened",15,0.55,1.22,0.34
silk dairy free unsweetened vanilla almond milk half gallon,"silk unsweetened, soymilk",33,2.88,1.65,1.65
simple truth® dairy free vanilla almond milk half gallon,"simple truth, almonds sliced",633,23.3,32.1,20
nesquik® chocolate low fat milk,"chocolate milk, nesquik, ns as to type of milk",74,3.41,2.15,10.09
silk dairy free vanilla almond milk half gallon,"silk vanilla, soymilk",41,2.47,1.44,4.12
almond breeze® dairy free vanilla almond milk half gallon,"vanilla dairy + almond lactose free lowfat milk with almond blend, vanilla",47,2.12,1.06,7.2
silk dairy free dark chocolate almond milk half gallon,"silk chocolate, soymilk",58,2.06,1.44,9.47
blue diamond® almond breeze® vanilla almond milk,"almond milk, chocolate",43,0.57,1.2,7.44
planet oat dairy free vanilla oat milk,oat milk,45,0.66,2.33,5.37
almond breeze® dairy free hint of honey almond milk,"almonds, honey roasted",579,14.11,32.1,35.84
promised land® midnight chocolate flavored whole milk,"midnight chocolate whole milk, midnight chocolate",104,3.75,4.17,13.8
silk dairy free vanilla soy milk half gallon,silk vanilla soy yogurt (family size),79,2.64,1.76,13.7
chobani® dairy free vanilla oat milk,"yogurt, greek, nonfat, vanilla, chobani",71,9.07,0.22,8.09
malk™ vanilla pure almond milk,"pure almond malk, unsweetened vanilla",57,2.2,4.85,2.2
promised land® very berry strawberry flavored whole milk,"very berry strawberry whole milk, very berry strawberry",104,3.75,4.17,13.3
hiland dairy chocolate milk,"chocolate milk, nesquik, made with non-dairy milk",54,1.35,1.64,8.41
private selection™ ultra pasteurized belgian chocolate milk quart,ultra-pasteurized milk,133,3.33,10,3.33
nutpods® non dairy half & half alternative made with almonds and coconuts,"cream, half and half",131,3.13,11.5,4.3
milkadamia® unsweetened macadamia milk,"unsweetened macadamia milk, macadamia",17,0.42,1.46,0.42
milkadamia milk mcadamia barista,"barista barley-milk, barista",46,1.25,2.92,3.75
milkadamia macadamia milk in latte da barista,"latte da macadamia milk, latte da",33,0.42,1.88,3.33
simple truth organic® dairy free organic original soy milk half gallon,"simple truth organic, beef jerky, original",286,25,3.57,21.4
silk dairy free organic unsweetened plain soy milk half gallon,silk plain soy yogurt,66,2.64,1.76,9.69
almond breeze® dairy free original almond milk half gallon,"dairy free almond cooking milk, almond",67,3.33,5,3.33
chobani® dairy free extra creamy oat milk,"yogurt, greek, blueberry, chobani",82,7.23,0.24,12.8
silk dairy free unsweetened plain coconut milk half gallon,"silk plain, soymilk",41,2.88,1.65,3.29
silk dairy free protein original soy milk half gallon,silk blueberry soy yogurt,88,2.35,1.18,17.1
califia farms® dairy free organic unsweeted original almond milk,"califia farms, matcha almond milk with ceremonial green tea",29,0.65,1.13,3.87
planet oat® dairy free barista oat milk,barista oat milk,47,0.42,2.11,9.3
so delicious® organic dairy-free unsweetened coconut milk,"so delicious dairy free, coconut milk beverage, chocolate",38,0.42,2.08,5.42
simple truth® plant based non dairy unsweetened oat milk,"oat milk chocolate plant based non-dairy beverage, oat milk chocolate",62,0.83,1.88,10.4
califia farms® dairy-free organic unsweetened original coconut milk,"unsweetened organic dairy-free coconut cashew oat milk, unsweetened",38,0.42,3.33,1.67
laguna coconut milk drink,coconut milk,31,0.21,2.08,2.92
pacific foods original hemp milk,"pacific foods original hemp milk, plant based milk, 32 oz carton",64,2,2.41,8.02
"non-dairy milk, vanilla plant based, gluten free | 8 oz (pack of 12)","non-dairy milk, nfs",31,1.14,1.6,3.04
ripple milk aseptic vanilla 32 fo,"milk shakes, thick vanilla",468,3.86,3.03,17.8
minor figures oat milk case of 6-32 fz,"minor's vegan alfredo sauce, 32 oz (pack of 6)",143,1.59,14.3,4.76
good karma flax milk - protein - vanilla - case of 6 - 32 fl oz.,flax seeds,545,18.04,32.1,34.36
mooala milk banana original organic,"babyfood, cereal, mixed, with bananas, prepared with whole milk",362,3.82,3.46,10
let's do organic coconut milk - sweetened condensed - case of 6 - 7.4 fl oz.,"milk, condensed, sweetened",321,7.91,8.7,54.4
lattini milk unsweetend sunflower,"original unsweetend almondmilk, original unsweetend",12,0.42,1.04,0.42
kiki milk organic plant-based milk original - 8 fl oz (237 ml),original plant-based milk,38,3.33,1.88,2.5
so delicious beverage milk coconut unsweetened organic 32 fo,"beverages, rice milk, unsweetened",195,0.28,0.97,9.17
"kuii, coconut milk original flavor (pack of 2)","puddings, coconut cream, dry mix, instant, prepared with 2% milk",448,2.9,2.3,19.2
ripple milk aseptic original 32 fo,"ripples original potato chips, ripples original",571,7.14,32.1,53.6
"conchita coconut milk, leche de coco 13.5 oz (pack of 8)",leche de coco coconut milk,112,1.25,12.5,2.5
kiki milk organic plant-based milk chocolate - 8 fl oz (237 ml),"chocolate plant-based milk, chocolate",58,3.33,1.88,7.5
ka-me organic coconut milk - case of 12 - 13.5 fz,"ka-me coconut milk, 13.5 fl oz",177,1.27,17.7,3.8
meyenberg evaporated goat milk - case of 12 - 12 fl oz.,"pet evaporated milk, 12 fl oz",133,6.67,6.67,10
andre prost coconut milk sweetened condensed 11.6 oz,"andre prost, unsweetened coconut milk",150,1.25,13.8,2.5
mooala milk banana strawberry,"babyfood, fruit, banana and strawberry, junior",457,0.71,0.37,25.8
pacific foods barista series original almond milk,barista series soy original,37,2.07,1.45,3.72
taste of thai coconut milk lite,"smart soup, thai coconut curry",36,0.8,1.06,6.5
kiki milk organic plant-based milk unsweetened - 32 fl oz (946 ml),"pacific foods original unsweetened cashew milk, plant based milk, 32 fl oz carton",21,0.42,1.67,0.83
so delicious unsweetened vanilla coconut milk beverage - case of 12 - 32 fl oz.,"so delicious, cultured coconut milk, vanilla, vanilla",88,0.59,3.53,12.9
kroger® cultured whole buttermilk half gallon,"kroger, cultured buttermilk",68,3.39,3.39,5.51
yoo-hoo chocolate drink boxes,"yoo-hoo, chocolate drink",52,0.52,0.52,11.5
blue diamond® almond breeze® dairy free reduced sugar vanilla almondmilk,"reduced sugar vanilla almondmilk, reduced sugar vanilla",25,0.42,1.04,3.33
shamrock farms® rockin' protein™ builder chocolate shakes,"chocolate builder protein shake, chocolate",54,8.47,1.13,3.39
kroger® cultured 1% lowfat buttermilk,"kroger, cultured lowfat buttermilk",46,3.75,1.04,5
planet oat® dairy free original oatmilk,"original oatmilk non-dairy oat beverage, original",50,1.25,2.08,6.67
oatly original oatmilk,original oatmilk,42,0.83,1.46,7.08
planet oat® extra creamy original oatmilk,"extra creamy original oatmilk, extra creamy",50,0.83,1.46,9.17
planet oat® original oatmilk,"original oat oatmilk, original",38,1.25,0.62,7.08
oatly unsweetened oatmilk,"unsweetened oatmilk, unsweetened",50,1.25,2.08,6.67
oatly super basic oatmilk,"olives, ripe, canned (jumbo-super colossal)",339,0.97,6.87,5.61
rice dream™ original rice drink,"rice dream, classic rice drink, vanilla, vanilla",54,0.42,1.04,10.8
west life organic unsweetened plain soymilk,organic unsweetened plain soymilk,42,3.75,2.08,1.67
califia farms® organic almondmilk,"califia farms, cold brew coffee with almondmilk, cocoa noir",39,0.97,1.29,7.1
hiland dairy cultured 1% low fat buttermilk,1% low-fat cultured buttermilk,46,3.75,0.83,5.83
betterbody foods oatsome® organic barista oat drink,"barista organic oat drink, barista",76,0.8,4.1,9
hiland dairy bulgarian buttermilk,"bulgarian cultured buttermilk, bulgarian",67,3.75,3.33,5.42
hiland cultured lowfat buttermilk,"milk, buttermilk, fluid, cultured, lowfat",169,3.31,1.07,4.79
barney butter blanched almond flour - 13 oz (368 g),"barney butter, almond butter",529,17.6,32.1,23.5
kraft smooth & creamy mozzarella natural cheese 12 oz,kraft velveeta pasteurized process cheese spread,1014.0000000000008,16.3,22,9.8
kroger® mexican style blend shredded cheese,"kroger, mexican style blend finely shredded cheese",357,21.4,28.6,3.57
sargento® off the block 4 state cheddar® shredded cheese,"sargento, 4 shredded italian cheese",286,28.6,16.1,3.57
kroger® whole milk mozzarella shredded cheese,"cheese, mozzarella, whole milk",1014.0000000000008,22.2,22.1,2.4
kroger® singles american sliced cheese,"kroger, american cheese singles",316,15.8,23.7,5.26
simple truth organic® colby jack sliced cheese,"cheese, colby jack",393,23.19,32.1,2.24
kroger® singles pepper jack sliced cheese,"kroger, pepper jack cheese singles",286,19,19,9.52
sargento® off the block fine cut 4 cheese mexican blend natural cheese shreds,finely shredded mexican 4 cheese blend,393,25,32.1,3.57
kroger® singles 4 cheese blend sliced cheese,"kroger, 3 cheese blend singles",333,19,23.8,9.52
simple truth organic® sharp white cheddar sliced cheese,"cheese, cheddar, sharp, sliced",1014.0000000000008,24.2,32.1,2.13
sargento® swiss sliced cheese,"cheese, swiss",393,27,31,1.44
sargento® pepper jack sliced cheese,"pepper jack cheese slices, pepper jack",391,26.1,30.4,4.35
kroger® mozzarella shredded cheese,"kroger, mozzarella finely shredded cheese",286,28.6,17.9,3.57
kroger® sharp cheddar shredded cheese,"kroger, sharp cheddar shredded cheese",393,25,32.1,3.57
kroger® mild cheddar shredded cheese family size,"our family, natural shredded mild cheddar cheese",286,25,21.4,3.57
kroger® parmesan shredded cheese,"cheese, parmesan, shredded",1014.0000000000008,25,27.3,3.41
kroger® medium cheddar block cheese,"kroger, medium cheddar cheese",393,25,32.1,3.57
kraft singles american sliced cheese,kraft free singles american nonfat pasteurized process cheese product,619,22.7,1,11.7
kroger® extra sharp cheddar block cheese,"kroger, extra sharp cheddar cheese",393,25,32.1,3.57
kroger® mozzarella string cheese,"kroger, string mozzarella cheese",286,25,21.4,3.57
kroger® pepper jack block cheese,"pepper jack cultured vegan cheese block, pepper jack",286,10.7,17.9,17.9
kroger® cheddar jack shredded cheese,"kroger, cheddar jack finely shredded cheese",357,25,28.6,3.57
simple truth organic® low-moisture part-skim shredded mozzarella cheese,"cheese, mozzarella, low moisture, part-skim, shredded",304,23.6,19.7,8.06
simple truth organic® mexican style blend shredded cheese,"cheese, mexican blend",362,21.92,29.34,2.4
kroger® reduced fat mexican style shredded cheese,"cheese, mexican blend, reduced fat",282,24.69,19.4,3.41
kroger® mild cheddar shredded cheese,"kroger, mild cheddar cheese",393,25,32.1,3.57
simple truth organic® sharp white cheddar shredded cheese,"simple truth, white cheddar finely shredded cheese",393,25,32.1,3.57
simple truth organic® pepper jack sliced cheese,"simple truth, monterey jack cheese sliced with jalapeno peppers, pepper jack, pepper jack",353,23.5,29.4,5.88
simple truth organic® grated parmesan cheese,"cheese, parmesan, grated",420,28.4,27.8,13.9
andrew and everett - parmesan cheese - grated - case of 6,"andrew & everett, string cheese",286,28.6,21.4,3.57
nutricost pantry white cheddar cheese powder 40.5 oz (1 - 134 g),"cheese sandwich, cheddar cheese, on white bread",325,15.14,16.11,29.95
kraft mexican style four cheese blend shredded cheese,"shredded mexican-style four cheese, four cheese",393,21.4,28.6,3.57
kroger® pizza blend shredded cheese,"kroger, pizza finely shredded cheese blend",286,28.6,21.4,3.57
kroger® nacho & taco blend shredded cheese,"kroger, nacho & taco blend, finely shredded cheese",357,21.4,28.6,3.57
kraft sharp cheddar finely shredded cheese,"finely shredded sharp cheddar cheese, sharp cheddar",393,21.4,32.1,7.14
kroger® reduced fat sharp cheddar shredded cheese,"cheese, cheddar, reduced fat",316,27.35,20.41,2.67
"kraft mild cheddar finely shredded cheese, 8 oz bag","finely shredded mild cheddar cheese, mild cheddar",393,21.4,32.1,7.14
kraft colby-jack shredded cheese fine cut,"colby-jack fine cut shredded natural cheese, colby-jack",393,25,28.6,7.14
kroger® queso quesadilla shredded cheese,"kroger, queso quesadilla finely shredded cheese",357,25,28.6,3.57
tillamook® mozzarella shredded cheese farmstyle,farmstyle cut mozzarella shredded cheese,321,25,17.9,10.7
tillamook® triple cheddar shredded cheese farmstyle,triple cheddar farmstyle cut,429,21.4,32.1,7.14
kraft mexican style cheddar jack finely shredded cheese,"finely shredded mexican-style cheddar jack cheese, mexican-style",393,21.4,32.1,3.57
tillamook® mexican 4 cheese shredded cheese farmstyle,"mexican 4 cheese farmstyle thick cut shredded cheddar, monterey jack, queso quesadilla and asadero cheeses, mexican 4 cheese",393,21.4,32.1,7.14
kraft sharp cheddar shredded cheese,"kraft, sharp cheddar cheese",411,21.4,32.1,1.79
tillamook® sharp cheddar shredded cheese farmstyle,"farmstyle thick cut shredded sharp cheddar cheese, sharp cheddar",429,21.4,32.1,3.57
sargento® off the block traditional cut extra sharp cheddar natural cheese shreds,"off the block mild cheddar shredded natural cheddar cheese, mild cheddar",393,25,32.1,7.14
kraft parmesan shredded cheese fine cut,"parmesan fine-cut shredded cheese, parmesan",393,25,25,7.14
private selection® aged cheddar blend thick cut shredded cheese,"aged cheddar blend thin cut shredded cheese, aged cheddar blend",393,25,28.6,7.14
private selection® chef's blend sharp cheddar gouda asiago thick cut shredded cheese,"sharp cheddar thick cut shredded cheese, sharp cheddar",393,21.4,32.1,7.14
private selection® alpine blend swiss & gruyere thick cut shredded cheese,"alpine blend thick cut shredded cheese, alpine blend",393,25,32.1,3.57
kraft signature restaurant style melt mexican blend cheese 8 oz,"restaurant, mexican, cheese enchilada",273,11.2,18.5,15.4
kraft signature restaurant style melt mozzarella blend shredded cheese 8 oz,"restaurant, family style, fried mozzarella sticks",325,14.8,18.3,25.1
sargento® reduced fat 4 cheese mexican shredded cheese traditional cut,"sargento, reduced fat 4 cheese mexican",286,28.6,21.4,3.57
kraft signature restaurant style melt cheddar blend cheese 8 oz,"garlic bread, with melted cheese, from fast food / restaurant",339,11.41,17.34,34.21
private selection® mild cheddar blend thick cut shredded cheese,"mild cheddar blend thick cut shredded cheese, mild cheddar blend",429,21.4,32.1,7.14
kraft colby jack finely shredded cheese,"colby jack shredded colby & monterey jack cheese finely shredded, colby jack",393,21.4,28.6,3.57
cacique® queso quesadilla shredded cheese,"queso quesadilla shredded cheese, queso quesadilla",357,21.4,28.6,3.57
velveeta shreds original flavor shredded cheese,"velveeta, shreds, shredded pasteurized prepared cheese product, original, original",214,17.9,10.7,10.7
private selection® grated romano cheese,"cheese, romano",1014.0000000000008,31.8,26.9,3.63
kroger® havarti sliced cheese,"havarti cheese slices, havarti",391,21.7,30.4,4.35
kroger® gouda sliced cheese,"cheese, gouda",356,24.9,27.4,2.22
kraft deli deluxe american sliced cheese,"american deli deluxe cheese slices, american",381,19,32.1,4.76
kroger® singles swiss sliced cheese,singles swiss cheese slices,286,19,19,9.52
kraft singles 2% milk american sliced cheese,"kraft, 2% milk singles swiss cheese slices",237,21,13.2,10.5
sargento® mozzarella sliced cheese,"sargento, mozzarella & provolone cheese",321,21.4,25,3.57
kroger® deluxe american sliced cheese,"kroger, deluxe american pasteurized process cheese slices",368,21,31.6,5.26
sargento® ultra thin® mild cheddar sliced cheese,ultra thin sliced mild cheddar cheese,406,25,32.1,3.12
sargento® ultra thin® sliced swiss cheese,ultra thin swiss cheese slices,375,28.1,28.1,6.25
heritage farms american sliced cheese,"cheese, american",340,16.79,27.16,7.16
private selection® variety pack gourmet cheese cracker cuts,select cracker cuts swiss cheese,400,28,28,4
kraft singles white american cheese slices,"kraft, singles cheese, white american, white american",237,21,13.2,10.5
private selection® gruyere cheddar cheese slices,"cheese, gruyere",413,29.81,32.1,0.36
kroger® fresh mozzarella sliced cheese,"sliced fresh mozzarella cheese, sliced fresh mozzarella",250,17.9,17.9,3.57
private selection® vermont sharp white cheddar sliced cheese,"private selection, vermont extra sharp white cheddar cheese snack",393,25,32.1,3.57
kroger® original nice'n cheesy® pasteurized prepared cheese product,"original smooth & cheesy pasteurized prepared cheese product, original smooth & cheesy",286,17.9,21.4,10.7
velveeta queso blanco cheese,"cheese, white, queso blanco",1014.0000000000008,20.4,24.3,2.53
kroger® orange rind muenster block cheese,"kroger, orange rind muenster",357,21.4,28.6,3.57
private selection® asiago wedge cheese,"asiago cheese wedge, asiago",393,25,32.1,3.57
kroger® mercado queso panela cheese,mercado queso panela whole milk cheese,36,21.4,25,3.57
kroger® mercado quesadilla cheese,"on the border, cheese quesadilla",1014.0000000000008,16.9,25.5,24.2
queso-melt jalapeno queso cheese 8 oz 10 pack,cheese and queso as ingredient,362,21.92,29.34,2.4
"farmers market wisconsin cheese pounder set, 3 pack","mcdonald's, quarter pounder with cheese",1014.0000000000008,14.6,14.2,20
sargento® mozzarella string cheese®,"sargento, light string cheese",238,28.6,11.9,4.76
kroger® reduced fat mozzarella string cheese,"mozzarella reduced fat string cheese, mozzarella",214,25,8.93,3.57
frigo® cheese heads® original mozzarella string cheese,"frigo, cheese heads, light string mozzarella cheese",208,29.2,10.4,4.17
kraft string cheese mozzarella cheese snacks with 2% milk,twists string cheese mozzarella & cheddar with 2% milk cheese snacks,238,28.6,11.9,4.76
sargento® pepper jack snack cheese sticks,"sargento, colby-jack cheese snack",372,20.9,30.2,2.33
kraft string cheese mozzarella cheese snacks,string cheese mozzarella cheese snacks,286,25,17.9,3.57
mini babybel® variety net snack cheese,"snack tray, with egg & babybel cheese",91,4.56,4.56,8.71
sargento® balanced breaks® monterey jack & cheddar cheese + wheat thins® crackers snack kit,"cheese & crackers monterey jack & milk cheddar cheeses and wheat thins mini original snacks, cheese & crackers",395,18.6,27.9,20.9
the laughing cow® original spreadable wedge cheese,"the laughing cow, blue cheese wedges",167,14.3,7.14,4.76
sargento® balanced breaks® natural white cheddar cheese with almonds & cranberries,"sargento balanced breaks white cheddar cheese, sea-salted roasted almonds, 6 count",442,16.3,30.2,27.9
kroger® sharp cheddar swiss colby jack pepper jack cracker cuts party tray sliced cheese,"party tray natural cheese slices, pepper jack, colby jack, swiss, mild cheddar",406,25,31.2,6.25
private selection® gouda cracker cuts sliced cheese,"gouda cracker cut cheese slices, gouda",357,25,28.6,3.57
kraft colby-jack marbled cheese cracker cuts,"marble jack a blend of colby & monterey jack cheese cracker cuts, marble jack",393,25,32.1,3.57
kroger® mild cheddar cubed cheese,"kroger, mild cheddar cheese cubes",393,25,32.1,3.57
sargento® balanced breaks® gouda & sharp cheddar cheese with mini triscuit® crackers snack kits,"gouda & sharp cheddar natural cheeses and triscuit mini original crackers, gouda & sharp cheddar, original",395,18.6,23.3,25.6
kroger® cheddar cheese cranberry & cashew snack kit,"cheddar cranberries & cashews cheese snacks, cheddar cranberries & cashews",419,16.3,27.9,23.3
sargento® balanced breaks® pepper jack cheese peanuts & raisins snack kit,"pepper jack raisins & peanuts cheese snacks, pepper jack raisins & peanuts",419,18.6,25.6,27.9
private selection® extra sharp white cheddar cracker cuts sliced cheese,"extra sharp white cheddar cracker cut cheese slices, extra sharp white cheddar",393,21.4,32.1,3.57
sargento® balanced breaks® sharp white cheddar cheese cashews & raisins snack kit,"sargento, sharp cheddar snacks",395,25.6,32.1,2.33
cracker barrel rich & bold cheddar jack marbled snack cheese sticks,"cracker barrel, macaroni n' cheese",812,6.49,11.8,15.6
kroger® pepper jack cheese raisins & honey roasted peanuts snack kit,"pepper jack cheese, raisins & honey roasted peanuts snacks, pepper jack cheese, raisins & honey roasted peanuts",372,18.6,25.6,27.9
kroger® cheddar cheese cranberry & almond snack kit,"cheddar cranberries & almonds cheese snacks, cranberries & almonds",442,16.3,30.2,23.3
frigo® cheese heads® low moisture part skim mozzarella cheese & beef salami sticks combo pack,"cheese, mozzarella, low moisture, part-skim",1014.0000000000008,23.7,20.4,4.44
sargento® balanced breaks® gouda cheese honey roasted peanuts & dried cranberries snack kit,"gouda natural cheese, honey roasted peanuts & dried cranberries snacks, gouda natural cheese, honey roasted peanuts & dried cranberries",395,18.6,23.3,30.2
sargento® fun! balanced breaks® monterey jack cheese mixed fruit teddy grahams® cocoa snack kit,graham crackers (teddy grahams),430,6.69,10.6,52.74000000000001
simple truth® uncured pepperoni & cheese lunchkit,"simple truth, turkey & cheese lunchkit",321,14.8,14.8,32.1
philadelphia original cream cheese,"philadelphia, original cream cheese",357,7.14,32.1,3.57
kroger® original cream cheese,"kroger, original cream cheese",333,6.67,32.1,6.67
kroger® 4% milkfat small curd cottage cheese,"4% milkfat small curd cottage cheese, cottage",92,9.93,4.26,4.26
kroger® 2% low fat small curd cottage cheese,2% low fat small curd cottage cheese,85,11.1,2.14,5.13
philadelphia reduced fat cream cheese,"philadelphia, reduced fat cream cheese",226,6.45,19.4,6.45
good culture® low fat 2% classic cottage cheese,"cheese, cottage, low fat",82,11,2.3,4.31
philadelphia original cream cheese spread,"philadelphia, cream cheese spread, original, original",250,3.57,25,3.57
kroger® 4% milkfat large curd cottage cheese,"4% milkfat large curd cottage cheese, 4% milkfat large curd",88,10.5,3.95,3.51
kroger® original whipped cream cheese spread,"kroger, whipped strawberry creame cheese spread",350,5,25,20
kroger® whole milk ricotta cheese,"cheese, ricotta, whole milk",657,7.81,11,6.86
daisy pure and natural 4% cottage cheese,"cheese, cottage, with fruit",74,9.41,1.96,4.94
philadelphia chive & onion cream cheese spread,"chive & onion cream cheese spread, chive & onion",258,6.45,22.6,6.45
kroger® low fat neufchatel cheese,"cheese, neufchatel",1014.0000000000008,9.15,22.8,3.59
philadelphia strawberry cream cheese spread,"philadelphia, cream cheese spread",258,6.45,22.6,6.45
galbani whole milk ricotta cheese,"galbani, ricotta cheese, whole milk, whole milk",161,8.06,11.3,9.68
good culture simply whole milk classic cottage cheese,"whole milk classic simply cottage cheese, whole milk classic",93,12.7,4,2
fage® total plain 2% milkfat low fat greek yogurt cup,"yogurt, greek, low fat milk, plain",67,10.2,1.36,3.6
yoplait original orange creme flavored low fat yogurt cup,"orange creme flavored original low fat yogurt, orange creme",100,2.94,0.88,19.4
yoplait original vanilla flavored smooth style low fat yogurt tub,yoplait original vanilla smooth style low fat yogurt,85.6,2.96,0.633,17.5
yoplait original low fat strawberry banana yogurt cup,yoplait original strawberry banana low fat yogurt,88,3.53,1.18,15.9
too good & co. vanilla low fat lower sugar gluten free greek yogurt cup,"yogurt, vanilla, low fat.",358,4.93,1.25,13.8
noosa® vanilla bean yogurt cup,"frozen yogurt, vanilla",127,3,3.6,21.6
too good & co™ mixed berry low fat lower sugar gluten free greek yogurt cup,yoplait original mixed berry gluten-free low-fat yogurt cup,84.7,2.94,0.917,16.2
oikos® triple zero vanilla nonfat greek yogurt,"yogurt, greek, nonfat, vanilla, dannon oikos",85,8.12,0.14,12.7
kroger® strawberry lowfat yogurt cup,"yogurt, greek, strawberry, lowfat",105,8.17,2.57,12.3
lala® wild strawberry flavored probiotic yogurt smoothie drink,"lala, yogurt smoothie, wild strawberry, wild strawberry",75,2.5,2.08,12.1
yoplait original strawberry flavored smooth style low fat yogurt tub,yoplait original strawberry smooth style low fat yogurt,90,2.97,0.634,18.1
chobani® strawberry on the bottom nonfat greek yogurt cup,"yogurt, greek, nonfat, fruit on bottom, strawberry, chobani",331,7.28,0.23,11.9
chobani creations greek apple pie a la mode yogurt cup,"apple pie a la mode greek low-fat yogurt, apple pie a la mode",100,8.24,1.47,8.24
yoplait original low fat harvest peach yogurt cup,yoplait original harvest peach low fat yogurt,88,3.53,1.18,14.7
yoplait original low fat cherry orchard yogurt cup,yoplait original cherry orchard gluten-free low-fat yogurt cup,84.5,2.94,0.921,15.6
kroger® vanilla nonfat greek yogurt cup,"yogurt, greek, vanilla, nonfat",325,8.64,0.18,10.4
kroger® strawberry nonfat light greek yogurt cup,"yogurt, greek, strawberry, nonfat",83,8.06,0.15,12.2
the greek gods® honey vanilla greek style yogurt tub,"the greek gods, nonfat greek yogurt with chia seeds, vanilla",93,8,0.67,12.7
yoplait original low fat strawberry yogurt cup,yoplait original strawberry low fat yogurt,88,3.53,1.18,14.7
kroger® strawberry and blueberry low fat yogurt tubes,yogurt tube,81,4.34,1.03,13.68
go gurt strawberry and cotton candy kids fat free yogurt tubes,go-gurt strawberry and cotton candy low fat yogurt tubes 20 count,86.4,3.42,0.144,17.9
chobani® clingstone peach less sugar low fat greek yogurt cup,"clingstone peach less sugar low-fat greek yogurt, clingstone peach",73,8,2,6.67
kroger® carbmaster® strawberry banana yogurt,"kroger, carbmaster, yogurt, blackberry, blackberry",35,5.29,0.88,2.35
